usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-06-18,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-06-18,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-06-19,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-06-19,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-06-20,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-06-20,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-06-21,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-06-21,Claude Haiku 4.5,Default,other-key-redacted,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-06-21,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-06-21,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,0.01,0.01,token,not_available,
2026-06-21,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_cache_read,0.04,0.04,token,global,
2026-06-21,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_cache_write_5m,0.09,0.09,token,global,
2026-06-21,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,1.75,1.75,token,global,
2026-06-21,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,0.91,0.91,token,global,
2026-06-21,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_cache_read,0.02,0.02,token,global,
2026-06-21,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_cache_write_5m,0.04,0.04,token,global,
2026-06-21,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,0.71,0.71,token,global,
2026-06-21,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,1.06,1.06,token,global,
2026-06-22,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-06-22,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-06-22,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-06-22,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,0.00,0.00,token,global,
2026-06-22,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-06-22,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,0.02,0.02,token,global,
2026-06-24,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,2.30,2.30,token,not_available,
2026-06-24,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_cache_read,0.06,0.06,token,not_available,
2026-06-24,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_cache_write_5m,0.04,0.04,token,not_available,
2026-06-24,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,6.55,6.55,token,not_available,
2026-06-24,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_cache_read,0.41,0.41,token,global,
2026-06-24,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_cache_write_5m,0.25,0.25,token,global,
2026-06-24,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,9.22,9.22,token,global,
2026-06-24,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,11.63,11.63,token,global,
2026-06-24,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,16.50,16.50,token,global,
2026-06-24,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,44.40,44.40,token,global,
2026-06-24,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_cache_read,0.18,0.18,token,global,
2026-06-24,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_cache_write_5m,0.11,0.11,token,global,
2026-06-24,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,input_no_cache,9.72,9.72,token,global,
2026-06-24,Claude Sonnet 4.6,Default,Tokenomics,message,≤ 200k,output,16.02,16.02,token,global,
2026-06-25,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-06-25,Claude Haiku 4.5,Default,Tokenomics,message,≤ 200k,output,0.02,0.02,token,not_available,
2026-06-25,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,input_no_cache,7.81,7.81,token,global,
2026-06-25,Claude Opus 4.8,Default,Tokenomics,message,≤ 200k,output,6.66,6.66,token,global,
