task_id,band,model_role,task_name,family,axis,cov_input,cov_cache_read,cov_output,cov_composite,output_cost_share
11,M,haiku,code_edit_known,cache,cached-context,,0.0,0.282644879549843,0.15611091045384243,0.5523217356793229
7,L,haiku,summarize_doc,standard/payload,input,0.0,,0.2140452859421223,0.01443015257643177,0.0674163530998467
15,high,sonnet,strategy_brief,standard/payload,thinking,0.0,,0.20441686768876027,0.2014355662568195,0.9854155801052581
12,M,haiku,qa_vs_reference,cache,cached-context,,0.0,0.20224710173493973,0.058878341116430775,0.29112081513828236
15,max,sonnet,strategy_brief,standard/payload,thinking,0.0,,0.2013397831594309,0.19928000002959081,0.9897696168262531
18,M,sonnet,analyze_dataset,standard/payload,payload,0.0,,0.1869361021032975,0.16707338705661848,0.8937459654759291
11,M,opus,code_edit_known,cache,cached-context,,0.0,0.16611624348806833,0.09079495221787225,0.5465747979329535
15,low,sonnet,strategy_brief,standard/payload,thinking,0.0,,0.15476175099869754,0.14716856590806696,0.950936293744218
15,high,opus,strategy_brief,standard/payload,thinking,0.0,,0.15055963616993065,0.14418723372767367,0.9576752268777755
15,max,opus,strategy_brief,standard/payload,thinking,0.0,,0.1472163912263803,0.14508968214239085,0.9855538566984764
8,M,sonnet,extract_structured,standard/payload,input,0.0,,0.12421709973619231,0.10384723163002568,0.8360139775487642
7,L,opus,summarize_doc,standard/payload,input,0.0,,0.11850456502670226,0.012183985122851427,0.10281447908868362
12,M,sonnet,qa_vs_reference,cache,cached-context,,0.0,0.11242033976393792,0.030000584795802,0.26686082659772886
2,S,haiku,rewrite_retone,standard/payload,input,0.0,,0.111137526060547,0.08926006030059681,0.8031496062992127
2,M,haiku,rewrite_retone,standard/payload,input,0.0,,0.11006379817224426,0.07199317572931305,0.6541040462427744
10,M,haiku,support_vs_kb,cache,cached-context,,0.0,0.10577008777727404,0.04788074272287866,0.4526869905195106
22,S,haiku,image_prompt_gen,standard/payload,output,0.0,,0.10248309891642772,0.0705656931098284,0.6885593220338981
7,S,sonnet,summarize_doc,standard/payload,input,0.0,,0.09740246622031223,0.05398158279078212,0.5542116630669547
7,S,opus,summarize_doc,standard/payload,input,0.0,,0.09675373581573543,0.05541307083203332,0.5727228035676662
10,M,opus,support_vs_kb,cache,cached-context,,0.0,0.09319979150719564,0.04720096819931632,0.5064492895960191
