task_id,band,model_role,task_name,family,model_id,n,mean_cost_usd,cov_composite,verdict,cov_input,cov_output,cov_cache_read
1,S,haiku,draft_email,standard/payload,claude-haiku-4-5-20251001,20,0.00093675,0.07819514697687635,tight,0.0,0.09170491884893761,
1,S,opus,draft_email,standard/payload,claude-opus-4-8,20,0.0067800000000000004,0.07553338523762582,tight,0.0,0.08844842001918879,
1,S,sonnet,draft_email,standard/payload,claude-sonnet-4-6,20,0.00329025,0.028020260037409938,tight,0.0,0.032053423933277016,
2,M,haiku,rewrite_retone,standard/payload,claude-haiku-4-5-20251001,20,0.004325,0.07199317572931305,tight,0.0,0.11006379817224426,
2,M,opus,rewrite_retone,standard/payload,claude-opus-4-8,20,0.046785,0.04949539149792432,tight,0.0,0.06359033066676888,
2,S,haiku,rewrite_retone,standard/payload,claude-haiku-4-5-20251001,20,0.0011430000000000001,0.08926006030059681,tight,0.0,0.111137526060547,
2,S,opus,rewrite_retone,standard/payload,claude-opus-4-8,20,0.00740875,0.07354940505065219,tight,0.0,0.09229881933838992,
3,S,haiku,factual_q,standard/payload,claude-haiku-4-5-20251001,20,0.000674,0.0762480307135768,tight,0.0,0.08209452508139099,
3,S,opus,factual_q,standard/payload,claude-opus-4-8,20,0.0049325,0.07638828673419104,tight,0.0,0.08186533934087939,
4,S,haiku,classify_triage,standard/payload,claude-haiku-4-5-20251001,20,0.000308,0.0,tight,0.0,0.0,
4,S,opus,classify_triage,standard/payload,claude-opus-4-8,20,0.00213,0.0,tight,0.0,0.0,
5,M,haiku,translate,standard/payload,claude-haiku-4-5-20251001,20,0.085113,0.005189362271974184,tight,0.0,0.005831095913375457,
5,M,opus,translate,standard/payload,claude-opus-4-8,20,0.580165,0.003987921148944838,tight,0.0,0.004520308836593007,
5,S,haiku,translate,standard/payload,claude-haiku-4-5-20251001,20,0.00128325,0.009991945605796436,tight,0.0,0.01124504643599064,
5,S,opus,translate,standard/payload,claude-opus-4-8,20,0.00882625,0.01122782206493242,tight,0.0,0.012760285144131302,
6,S,haiku,short_form_copy,standard/payload,claude-haiku-4-5-20251001,20,0.00060175,0.05808710765385282,tight,0.0,0.0782404410312388,
6,S,opus,short_form_copy,standard/payload,claude-opus-4-8,20,0.00475125,0.029483480520010544,tight,0.0,0.038737196493798864,
