task_id,band,model_role,n_off,n_on,cov_output_off,cov_output_on,cov_rel_reduction,mean_off,mean_on,mean_delta_pct,h5_output_win,n_neutral,mean_neutral,cov_output_neutral
1,S,haiku,20,20,0.14132041808619847,0.09072631829511042,0.3580098366269207,231.15,139.7,-39.56305429374866,True,20,300.65,0.12768202492674458
1,S,opus,20,20,0.131768355318169,0.035579020534446705,0.7299881261435093,321.75,160.4,-50.14763014763015,True,20,452,0.05287856651322114
1,S,sonnet,20,20,0.10110579386662556,0.0317095343370113,0.6863727277702684,293.5,140.7,-52.06132879045997,True,20,273.7,0.1011351779183215
4,S,haiku,20,20,0.0,0.0,,7,7,0.0,False,,,
4,S,opus,20,20,0.0,0.056609315886070655,,8,7.9,-1.2499999999999956,False,,,
4,S,sonnet,20,20,0.0,0.0,,7,7,0.0,False,,,
6,S,haiku,20,20,0.09474891018037035,0.045236085273264934,0.5225688064680586,253,91.4,-63.873517786561266,True,20,263.95,0.11808779951557989
6,S,opus,20,20,0.0892594358569686,0.022388660361509147,0.7491731810025636,329.2,140.2,-57.41190765492102,True,20,378.75,0.06807729936602624
6,S,sonnet,20,20,0.04417454666509593,0.022376846312903095,0.49344480017983,328.5,93.15,-71.64383561643835,True,20,303.3,0.06928463699559333
7,S,haiku,20,20,0.07814865440289602,0.035896535984681635,0.540663415653752,272.6,140.45,-48.477622890682326,True,20,285.3,0.06526867784319447
7,S,opus,20,20,0.027413073334362444,0.02413022338379441,0.11975490345524169,360.05,216.75,-39.80002777392029,False,20,375.7,0.033368866160121635
7,S,sonnet,20,20,0.06463531085159599,0.02392240118009955,0.6298864991146113,306.05,153.2,-49.942819800686166,True,20,307.6,0.05211603131258245
8,S,haiku,20,20,0.0621696762833456,0.10020049111430905,-0.6117261196219448,286.2,147.1,-48.60237596086653,False,20,298.15,0.07267485965147476
8,S,opus,20,20,0.029997031745621804,0.05295328464764461,-0.7652841486682551,407.5,206.35,-49.36196319018405,False,20,499.6,0.07095298008438301
8,S,sonnet,20,20,0.0602467874589735,0.05735817291299218,0.04794636640083742,299.25,138.6,-53.68421052631579,False,20,351.35,0.07169002684078483
9,S,haiku,20,20,0.14645671643033015,0.07240166472767895,0.5056446266694733,414.65,984.4,137.40504039551428,False,20,861.85,0.1749996522500506
9,S,opus,20,20,0.08400218438998361,0.0142093130919394,0.8308459096019208,1087.7,1677.15,54.19233244460789,False,20,1597.85,0.09356055958062154
9,S,sonnet,20,20,0.11353083679329282,0.021559203028925073,0.8101026678048872,935.1,1047.85,12.05753395358784,False,20,1388.6,0.11589723477527382
15,S,haiku,20,20,0.2113392771317822,0.2065637342350404,0.022596570602273613,514.3,2643.5,413.99961112191323,False,20,1866.3,0.1527419699508778
15,S,opus,20,20,0.10883945442269086,0.06677441564552036,0.38648704185713717,1570.3,2912.65,85.48366554161626,False,20,3289.35,0.2669313353172814
15,S,sonnet,20,20,0.10125846740036917,0.2689241199780783,-1.6558185886299306,1534.2,6223.4,305.6446356407248,False,20,3683.2,0.19924730217997016
23,S,haiku,20,20,0.17074195179768636,0.15944566567363988,0.06615999176014781,453.4,3799.5,738.001764446405,False,20,1349.8,0.17254235700643347
23,S,opus,20,20,0.09077336430093864,0.02959425421802656,0.6739764528291199,1162.95,3144.05,170.35126187712285,False,20,2818.05,0.12286958784236655
23,S,sonnet,20,20,0.17220047531452093,0.052741125760385914,0.6937225308811997,1485.9,2665.7,79.39969042331245,False,20,2155.95,0.186288209394808
24,S,haiku,20,20,0.11100988650113808,0.06932529339619695,0.37550342963834826,312.85,414.25,32.411698897235084,False,20,531.95,0.08027584596559474
24,S,opus,20,20,0.048584205032601475,0.030094912504030315,0.38056180020161456,512.05,780.5,52.426520847573485,False,20,775.3,0.0721780806472238
24,S,sonnet,20,20,0.11327707613142528,0.04300343136868651,0.6203695148452325,540.6,633.3,17.147613762486113,False,20,696.75,0.0977423666200538
