task_id,arm,total_pairs,eligible_pairs,excluded_share,wins_haiku,wins_opus,ties,low_confidence,net_pref,equivalent
1,off,20,20,0.0,2,13,5,0,0.55,False
1,neutral,20,19,0.05,4,9,6,0,0.2631578947368421,False
1,on,20,7,0.65,1,1,5,0,0.0,True
6,off,20,3,0.85,0,0,3,0,0.0,True
6,neutral,20,2,0.9,0,0,2,0,0.0,True
6,on,20,19,0.05,0,0,19,0,0.0,True
7,off,20,3,0.85,0,0,3,0,0.0,True
7,neutral,20,3,0.85,0,0,3,0,0.0,True
7,on,20,12,0.4,0,0,12,0,0.0,True
8,off,20,19,0.05,0,2,17,0,0.10526315789473684,False
8,neutral,20,19,0.05,0,0,19,0,0.0,True
8,on,20,5,0.75,0,1,4,0,0.2,False
9,off,20,3,0.85,0,3,0,0,1.0,False
9,neutral,20,0,1.0,0,0,0,0,,False
9,on,20,2,0.9,0,0,2,0,0.0,True
15,off,20,6,0.7,0,6,0,0,1.0,False
15,neutral,20,0,1.0,0,0,0,0,,False
15,on,20,0,1.0,0,0,0,0,,False
23,off,20,10,0.5,0,5,5,0,0.5,False
23,neutral,20,0,1.0,0,0,0,0,,False
23,on,20,0,1.0,0,0,0,0,,False
24,off,20,19,0.05,0,1,18,0,0.05263157894736842,True
24,neutral,20,11,0.45,0,0,11,0,0.0,True
24,on,20,1,0.95,0,1,0,0,1.0,False
