task_id,model_role,arm,n,metric,pass_rate,mean_hook_score,low_confidence
1,haiku,neutral,20,absolute_rubric,0.0,,0
1,haiku,off,20,absolute_rubric,0.0,,0
1,haiku,on,20,absolute_rubric,0.45,,0
1,opus,neutral,20,absolute_rubric,0.0,,0
1,opus,off,20,absolute_rubric,0.0,,0
1,opus,on,20,absolute_rubric,0.55,,0
1,sonnet,neutral,20,absolute_rubric,0.0,,0
1,sonnet,off,20,absolute_rubric,0.0,,0
1,sonnet,on,20,absolute_rubric,0.35,,0
4,haiku,off,20,exact_match,1.0,,0
4,haiku,on,20,exact_match,1.0,,0
4,opus,off,20,exact_match,1.0,,0
4,opus,on,20,exact_match,0.95,,0
4,sonnet,off,20,exact_match,1.0,,0
4,sonnet,on,20,exact_match,1.0,,0
6,haiku,neutral,20,absolute_rubric,0.0,1.2,0
6,haiku,off,20,absolute_rubric,0.0,0.95,0
6,haiku,on,20,absolute_rubric,0.95,1.85,0
6,opus,neutral,20,absolute_rubric,0.0,1.95,0
6,opus,off,20,absolute_rubric,0.0,1.65,0
6,opus,on,20,absolute_rubric,1.0,2,0
6,sonnet,neutral,20,absolute_rubric,0.0,1.95,0
6,sonnet,off,20,absolute_rubric,0.0,2,0
6,sonnet,on,20,absolute_rubric,1.0,1.95,0
7,haiku,neutral,20,absolute_rubric,0.0,,0
7,haiku,off,20,absolute_rubric,0.0,,0
7,haiku,on,20,absolute_rubric,0.6,,0
7,opus,neutral,20,absolute_rubric,0.0,,0
7,opus,off,20,absolute_rubric,0.0,,0
7,opus,on,20,absolute_rubric,1.0,,0
7,sonnet,neutral,20,absolute_rubric,0.0,,0
7,sonnet,off,20,absolute_rubric,0.0,,0
7,sonnet,on,20,absolute_rubric,0.1,,0
8,haiku,neutral,20,absolute_rubric,0.0,,0
8,haiku,off,20,absolute_rubric,0.0,,0
8,haiku,on,20,absolute_rubric,0.15,,0
8,opus,neutral,20,absolute_rubric,0.0,,0
8,opus,off,20,absolute_rubric,0.0,,0
8,opus,on,20,absolute_rubric,0.9,,0
8,sonnet,neutral,20,absolute_rubric,0.0,,0
8,sonnet,off,20,absolute_rubric,0.0,,0
8,sonnet,on,20,absolute_rubric,0.9,,0
9,haiku,neutral,20,absolute_rubric,0.0,,0
9,haiku,off,20,absolute_rubric,0.0,,0
9,haiku,on,20,absolute_rubric,0.05,,0
9,opus,neutral,20,absolute_rubric,0.0,,0
9,opus,off,20,absolute_rubric,0.0,,0
9,opus,on,20,absolute_rubric,1.0,,0
9,sonnet,neutral,20,absolute_rubric,0.0,,0
9,sonnet,off,20,absolute_rubric,0.0,,0
9,sonnet,on,20,absolute_rubric,0.5,,0
15,haiku,neutral,20,absolute_rubric,0.0,,0
15,haiku,off,20,absolute_rubric,0.0,,0
15,haiku,on,20,absolute_rubric,0.0,,0
15,opus,neutral,20,absolute_rubric,0.0,,0
15,opus,off,20,absolute_rubric,0.0,,0
15,opus,on,20,absolute_rubric,0.95,,0
15,sonnet,neutral,20,absolute_rubric,0.0,,0
15,sonnet,off,20,absolute_rubric,0.0,,0
15,sonnet,on,20,absolute_rubric,0.5,,0
23,haiku,neutral,20,absolute_rubric,0.0,,0
23,haiku,off,20,absolute_rubric,0.0,,0
23,haiku,on,20,absolute_rubric,0.0,,0
23,opus,neutral,20,absolute_rubric,0.0,,0
23,opus,off,20,absolute_rubric,0.0,,0
23,opus,on,20,absolute_rubric,0.8,,0
23,sonnet,neutral,20,absolute_rubric,0.0,,0
23,sonnet,off,20,absolute_rubric,0.0,,0
23,sonnet,on,20,absolute_rubric,0.0,,0
24,haiku,neutral,20,absolute_rubric,0.0,,0
24,haiku,off,20,absolute_rubric,0.0,,0
24,haiku,on,20,absolute_rubric,0.0,,0
24,opus,neutral,20,absolute_rubric,0.0,,0
24,opus,off,20,absolute_rubric,0.0,,0
24,opus,on,20,absolute_rubric,0.0,,0
24,sonnet,neutral,20,absolute_rubric,0.0,,0
24,sonnet,off,20,absolute_rubric,0.0,,0
24,sonnet,on,20,absolute_rubric,0.5,,0
