task_id,model_role,arm,n,metric,pass_rate,mean_hook_score,low_confidence
4,haiku,off,20,exact_match,1.0,,0
4,haiku,on,20,exact_match,1.0,,0
4,opus,off,20,exact_match,1.0,,0
4,opus,on,20,exact_match,1.0,,0
4,sonnet,off,20,exact_match,1.0,,0
4,sonnet,on,20,exact_match,1.0,,0
6,haiku,off,20,absolute_rubric,0.0,1.45,0
6,haiku,on,20,absolute_rubric,1.0,2,0
6,opus,off,20,absolute_rubric,0.0,1.3,0
6,opus,on,20,absolute_rubric,1.0,2,0
6,sonnet,off,20,absolute_rubric,0.0,1.95,0
6,sonnet,on,20,absolute_rubric,0.9,2,0
9,haiku,off,20,absolute_rubric,0.0,,0
9,haiku,on,20,absolute_rubric,0.05,,0
9,opus,off,20,absolute_rubric,0.0,,0
9,opus,on,20,absolute_rubric,1.0,,0
9,sonnet,off,20,absolute_rubric,0.0,,0
9,sonnet,on,20,absolute_rubric,0.5,,0
