spot_id,task_id,model_role,arm,idx,llm_pass
787fadf07084,6,haiku,off,4,
f4cc8de41463,6,haiku,off,6,
a0cf90614743,6,haiku,on,7,
8f1a86ee038e,6,haiku,on,6,
c08f147baf62,6,opus,off,13,
10e940188298,6,opus,off,12,
9b00de8bfdff,6,opus,on,18,
2cb3f9cccc52,6,opus,on,3,
2470953000ea,6,sonnet,off,12,
1a323eca9a7a,6,sonnet,off,9,
a16c02fd502a,6,sonnet,on,13,
ddfd85d2ebda,6,sonnet,on,16,
2cdcaa346a23,9,haiku,off,15,
aede31fc8ded,9,haiku,off,13,
8f573859a89a,9,haiku,on,16,
983b9e409023,9,haiku,on,19,
49a00085be44,9,opus,off,14,
e73ae9425cad,9,opus,off,1,
8018ffc8fa8f,9,opus,on,13,
bd5238d50628,9,opus,on,3,
539061205b56,9,sonnet,off,12,
fc9074085d63,9,sonnet,off,4,
1103deacbcf4,9,sonnet,on,4,
1d265ac8ddd5,9,sonnet,on,12,
